title,agency,date
New Rochelle Physician Pleads Guilty To Selling Thousands Of Oxycodone Pills For Cash,"U.S. Attorney's Office, Southern District of New York",
Chattanooga Provider Settles Allegations Of Improper Billing For Electro-Acupuncture Devices,"U.S. Attorney's Office, Eastern District of Tennessee",
Miami Man Sentenced to Over 5 Years in Prison and Ordered to Pay Over $3.8 Million for Fraudulently Billing Medicaid for Psychosocial Rehabilitation Services,"U.S. Attorney's Office, Southern District of Florida",
"Court Awards State $425,940.54 Against Komfort & Kare LLC Assisted Living Program For Housing Medicaid Recipients In Unlicensed Facilities",State of Maryland,
Attorney General Bonta Announces Criminal Charges Against Southern California Dentist for Medi-Cal Fraud,State of California,
Harrisburg Woman Pleads Guilty To Health Care Fraud And Bank Fraud Charges,"U.S. Attorney's Office, Middle District of Pennsylvania",
North Carolina Woman Sentenced For Making False Statements,"U.S. Attorney's Office, District of South Dakota",
Houston Man Guilty In $160M Medicare Fraud Scheme,"U.S. Attorney's Office, Southern District of Texas",
Virginia Contractor Settles False Claims Act Liability For Failing To Secure Medicare Beneficiary Data,U.S. Department of Justice,
Precision Toxicology Agrees To Pay $27 Million To Resolve Allegations Of Unnecessary Drug Testing And Illegal Kickbacks To Physician,State of Maryland,
Former Chief Executive Officer Of Chicago Hospital Added To Federal Indictment Alleging Corruption And Embezzlement,"U.S. Attorney's Office, Northern District of Illinois",
San Diego Physician And Medical Practice Pay $3.8 Million To Resolve False Claims Act Allegations,"U.S. Attorney's Office, Southern District of California",
Urine Drug Testing Laboratory And Owner Agree To Resolve False Claims Act Allegations,"U.S. Attorney's Office, Western District of North Carolina",
Silver Spring Woman Sentenced for Defrauding Maryland Medicaid of over $1 Million,State of Maryland,
Magellan Diagnostics Sentenced For Concealing Malfunction In Lead Testing Devices,"U.S. Attorney's Office, District of Massachusetts",
Teva Pharmaceuticals Agrees To Pay $425 Million To Resolve Kickback Allegations,"U.S. Attorney's Office, District of Massachusetts",
Generic Pharmaceutical Company Pays $25 Million To Resolve False Claims Act Liability For Price-Fixing Of Generic Drugs,"U.S. Attorney's Office, Eastern District of Pennsylvania",
Drug Maker Teva Pharmaceuticals Agrees To Pay $450M In False Claims Act Settlement To Resolve Kickback Allegations Relating To Copayments And Price Fixing,U.S. Department of Justice,
"In Latest Welfare Fraud Win, Attorney General Todd Rokita Secures Six-Figure Settlement & Criminal Conviction Against Highland Home Health Provider",State of Indiana,
TennCare Fraud Investigation Leads To Arrests Of Two Memphis Woman,State of Tennessee,
Two Los Angeles-Area Residents Arrested On Indictment Alleging Scheme To Fraudulently Obtain And Launder Medicare Proceeds,"U.S. Attorney's Office, Central District of California",
Disabilities Day Program Employee Sentenced To 230 Days In Jail For Exploiting Vulnerable Adults And Shoplifting,"U.S. Attorney's Office, District of Columbia",
Eight Charged In $68M Social Adult Day Care And Home Health Care Scheme,U.S. Department of Justice,
"North Carolina Physician And Medical Practice Agree To Pay $625,000 To Settle Kickback Allegations",U.S. Department of Justice,
"Attorney General Josh Stein Announces $625,000 Health Care Fraud Settlement",State of North Carolina,
Attorney General Jackley Announces Wyoming Woman Sentenced On Grand Theft By Exploitation Charge,State of South Dakota,
North Carolina Physician Assistant Sentenced To Six Years In Prison For Role In $10 Million Telemedicine Fraud Scheme,"U.S. Attorney’s Office, Western District of North Carolina",
Operator Of South Carolina Medicaid Call Center Agrees To Pay $11.3 Million To Resolve False Claims Act Liability; Two Former Employees Plead Guilty To Wire Fraud,"U.S. Attorney's Office, District of South Carolina",
Merrillville Doctor Sentenced To Prison And Ordered To Pay Restitution,"U.S. Attorney's Office, Northern District of Indiana",
"Ten Pharmaceutical Distributor Executives, Sales Representatives, And Brokers Charged In Connection With Unlawful Sales Of Nearly 70M Opioid Pills",U.S. Department of Justice,
Wichita Brothers Plead Guilty To Defrauding The Government,"U.S. Attorney's Office, District of Kansas",
Martin Handler Sentenced To 58 Months For Fraud On Federal Head Start Program And Tax Evasion,"U.S. Attorney's Office, Southern District of New York",
Precision Toxicology Agrees to Pay $27M to Resolve Allegations of Unnecessary Drug Testing and Illegal Remuneration to Physicians,"U.S. Department of Justice and U.S. Attorney's Office, District of Maryland",
Texas Hospital CEO to Pay Over $5.3M to Settle Kickback Allegations Involving Laboratory Testing,U.S. Department of Justice,
"AG Moody’s Medicaid Fraud Control Unit Secures More Than $700,000 Through Multistate Action from Toxicology Laboratory",State of Florida,
Chicago Lab Owner Pleads Guilty to $14 Million COVID-19 Fraud Scheme,"U.S. Attorney's Office, Northern District of Illinois",
Brookline Hospital to Pay Up To $6.5 Million to Resolve False Claims Act Liability Concerning Kickback Allegations,"U.S. Attorney's Office, District of Massachusetts",
"Lehigh Valley-Area Doctor Agrees to Pay $45,000 to Resolve False Claims Act Liability","U.S. Attorney's Office, Eastern District of Pennsylvania",
Lab Owner Pleads Guilty to $14M COVID-19 Fraud Scheme,U.S. Department of Justice,
Brooklyn-Based Home Health Care Agencies Settle Fraud Claims for $9.75 Million and Agree to Pay $7.5 Million in Wages and Benefits to Underpaid Aides,"U.S. Attorney's Office, Eastern District of New York",
Founder and Chief Executive Officer of Injectable Stem Cell Product Manufacturer Sentenced for Distributing Unapproved Drug,U.S. Department of Justice,
Attorney General James And U.S. Attorney Peace Secure Over $17 Million From Home Health Agencies For Cheating Workers And Defrauding Medicaid In Landmark Wage Parity Agreement,State of New York,
The Pathway Home Abuse Investigation – Victims Being Sought,Anchorage Police Department,
Owner of Oahu Physical Therapy Clinics Pleads Guilty to Health Care Fraud,"U.S. Attorney's Office, District of Hawaii",
"Hospital, Laboratory, Referring Physician, and Lab Employees Pay More than $7.2 Million To Resolve Civil Allegations of Fraudulent Laboratory Testing","U.S. Attorney’s Office, Eastern District of Kentucky",
"Physician and Office Manager Pay $450,000 to Resolve Alleged Violations of the Controlled Substance Act and the False Claims Act","U.S. Attorney’s Office, Eastern District of Kentucky",
Behavioral Healthcare Company Executive Pleads Guilty to Healthcare Fraud,"U.S. Attorney's Office, District of Massachusetts",
Acadia Healthcare Company Inc. to Pay $19.85M to Settle Allegations Relating to Medically Unnecessary Inpatient Behavioral Health Services,U.S. Department of Justice,
Attorney General Griffin Announces Arrest Of Little Rock Woman On Felony Medicaid Fraud Charge,State of Arkansas,
Texas Businessman Accused of $1.9 Million COVID Test Kit Fraud,"U.S. Attorney’s Office, Eastern District of Missouri",
Over 100 Defendants Federally Charged With Fraud Related To The COVID-19 Pandemic,"U.S. Attorney’s Office, Middle District of Florida",
Former Pharmacy Chief Financial Officer and Former Pharmacy President Admit Roles in $33 Million Pharmacy Compounded Medication Scheme,"U.S. Attorney’s Office, District of New Jersey",
Prineville Woman Sentenced to Federal Prison for Multi-Million Dollar Drug Treatment Fraud Scheme,"U.S. Attorney’s Office, District of Oregon",
"$2,125,640 Recouped in Civil Settlements for Violations of the False Claims Act from Local Pharmacies in Cidra and Florida, Puerto Rico","U.S. Attorney’s Office, District of Puerto Rico",
27 Individuals Indicted for Buying and Selling Wholesale Quantities of Misbranded and Diverted Prescription Drugs Resold to the Public Through Retail Pharmacies in Puerto Rico,"U.S. Attorney’s Office, District of Puerto Rico",
"Ra Medical Systems, Inc. & Physicians Pay Over $8 Million to Resolve False Claims Act Allegations of Illegal Kickbacks","U.S. Attorney’s Office, Eastern District of Michigan",
USAO NDWV Secures False Claims Act Settlement Relating to Use of Amniotic Fluid Injections for Pain Management,"U.S. Attorney’s Office, Northern District of West Virginia",
Virginia-Based Defense Contractor To Pay $2.25 Million Fine for Bribery Conspiracy,"U.S. Attorney’s Office, Southern District of California",
Seven People Charged With Over $40 Million In Medicare And Medicaid Fraud,"U.S. Attorney’s Office, District of Colorado",
Attorney General Alan Wilson announces Irmo woman charged with stealing from Charleston nursing home resident,State of South Carolina,
Home Health Care Companies Owner Convicted Of Medicaid Fraud,"U.S. Attorney's Office, Southern District of Ohio",
Nine Individuals Indicted In $28 Million Illegal Opioid Distribution Conspiracy Three Doctors and A Clinic Owner Among Those Indicted,"U.S. Attorney’s Office, Eastern District of Michigan",
Tallahassee Woman Arrested for Defrauding Medicaid Program,State of Florida,
"Medical Device Distributor To Pay $1,019,000 To Resolve False Claims Act Liability Arising From Billing Of “P-Stim” Devices","U.S. Attorney's Office, Eastern District of Pennsylvania",
Philadelphia Woman Sentenced To 20 Months In Prison For Conspiring To Defraud Medicaid,"U.S. Attorney's Office, Eastern District of Pennsylvania",
"Maryland Man Sentenced For Selling Fraudulent Nursing Diplomas, Transcripts And Nursing Licenses","U.S. Attorney's Office, District of Maryland",
Doctor Charged In $32.7M Medicare Fraud Scheme,U.S. Department of Justice,
Oak Street Health Agrees To Pay $60M To Resolve Alleged False Claims Act Liability For Paying Kickbacks To Insurance Agents In Medicare Advantage Patient Recruitment Scheme,U.S. Department of Justice,
Attorney General Bonta Announces Indictment Of Southern California Healthcare Provider For Medi-Cal Fraud Of Nearly $60 Million,State of California,
Carr: Lawrenceville Man Indicted For Medicaid And Identity Fraud,State of Georgia,
Managers Of Suburban Chicago Youth Counseling Center Sentenced To Prison For Defrauding Illinois Medicaid Out Of $2.5 Million,"U.S. Attorney's Office, Northern District of Illinois",
South Dakota Surgical Hospital And United Surgical Partners International Agree To Pay More Than $12.7 Million To Resolve Alleged False Claims Act Violations,"U.S. Attorney's Office, Northern District of Iowa",
Doctor Pleads Guilty To Conspiracy To Illegally Using A Drug Enforcement Administration Registration Number Issued To Another,"U.S. Attorney's Office, Western District of Kentucky",
East Lansing Caregiver Sentenced For Role In Freezing Death Of Elderly Woman,State of Michigan,
South Dakota Surgical Hospital Agrees To Pay More Than $12.7M To Resolve Alleged False Claims Act Violations,U.S. Department of Justice,
Attorney General Alan Wilson Announces Upstate Woman Charged With Fraud And Stealing From Vulnerable Adult,State of South Carolina,
Licensed Professional Counselor Indicted In $2 Million Health Care Fraud Scheme,"U.S. Attorney's Office, Southern District of Texas",
California Addiction Treatment Facility Operator Convicted Of Paying Nearly $2.9M In Illegal Kickbacks,U.S. Department of Justice,
Walgreens Agrees To Pay $106.8M To Resolve Allegations It Billed The Government For Prescriptions Never Dispensed,"U.S. Department of Justice and U.S. Attorney's Office, Middle District of Florida",
Sioux City Mental Health Counselor Arrested For Fraudulent Billing Insurance And Medicaid,State of Iowa,
Geriatric Nursing Assistant Sentenced For Theft Involving Nursing Facility Resident’s Debit Card,State of Maryland,
Final Medoc Defendant Sentenced In $4.4 Million Prescription Kickback Scheme,"U.S. Attorney's Office, Northern District of Texas",
Former Charleston Physician Pleads Guilty To Federal Opioid Crime,"U.S. Attorney's Office, Southern District of West Virginia",
Attorney General James Secures More Than $7.6 Million From Health Insurer For Using Banned Medicaid Provider,State of New York,
United States Settles Claims Of Durable Medical Equipment Fraud Against Wilmington Physician,"U.S. Attorney’s Office, District of Delaware",
"Man Pleads Guilty To Stealing More Than $68,000 From Medicaid And SNAP","U.S. Attorney’s Office, District of New Hampshire",
"United States Files Suit Against Pain Institute Of Nashville, Michael Cox, Debbie Cox, And Related Entities","U.S. Attorney’s Office, Middle District of Tennessee",
Behavioral Health Care Company Executive Charged With Health Care Fraud,"U.S. Attorney's Office, District of Massachusetts",
Marketer Of Durable Medical Equipment Admits Multimillion-Dollar Health Care Fraud Scheme,"U.S. Attorney's Office, District of New Jersey",
"Medical Device Company To Pay $700,000 To Resolve False Claims Act Allegations Concerning Inflated Reimbursements From Medicare And Medicaid",U.S. Department of Justice,
"Pharmacists Convicted Of $13M Medicare, Medicaid, And Private Insurer Fraud Scheme",U.S. Department of Justice,
Home Health Care Company Operators Sentenced To Prison In $5.5 Million Kickback Scheme And Tax Evasion,"U.S. Attorney's Office, Eastern District of Michigan",
Macon Resident Sentenced For Obstructing Justice In Civil Investigation,"U.S. Attorney's Office, Middle District of Georgia",
"Attorney General Moody Announces Arrest Of Owner Of Caregiving Company For More Than $20,000 In Medicaid Fraud",State of Florida,
Former Chief Operating Officer Of COVID-19 Testing Kit Company Sentenced To More Than Six Years In Federal Prison For Embezzling $1.85 Million,"U.S. Attorney's Office, Northern District of Illinois",
Connecticut Dentist Pleads Guilty To Violating Federal Anti-Kickback Law,"U.S. Attorney's Office, District of Connecticut",
Pharmaceutical Company Pays $25 Million To Resolve Alleged False Claims Act Liability For Price-Fixing Of Generic Drug,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of Pennsylvania",
Attorney General Brown Announces Conviction of Washington County Care Provider Who Assaulted Vulnerable Adult,State of Maryland,
Four Defendants Plead Guilty To Defrauding Virginia Medicaid,"U.S. Attorney's Office, Eastern District of Virginia",
Former Dentist Who Stole Millions From Maryland Medicaid Now Sentenced For Violating Probation,State of Maryland,
West Hartford Woman Sentenced For Medicaid Fraud,State of Connecticut,
Connecticut Dentists Pay $1.7 Million To Settle False Claims Allegations,"U.S. Attorney’s Office, District of Connecticut",
Madison Man Pleads Guilty To Conspiracy To Defraud The United States,"U.S. Attorney’s Office, Southern District of Mississippi",
U.S. Attorney Jesse Laslovich Announces $10.8 Million Civil Settlement With St. Peter’s Health Over False Claims Act Misconduct,"U.S. Attorney's Office, District of Montana",
Suffolk Services Provider Pleads Guilty To Health Care Fraud,"U.S. Attorney’s Office, Eastern District of Virginia",
"Oklahoma Medical Clinic, Owners, And Treating Physician Pay $246,000 To Settle Allegations Of Submitting False Medicare Claims For Medically Unnecessary Ultrasound Procedures","U.S. Attorney's Office, Western District of Oklahoma",
California Doctor Sentenced For Health Care Fraud Scheme,U.S. Department of Justice,
"Temporary Nurse Staffing Agencies In Quincy, Waltham To Pay More Than $600,000 In Separate Settlements For Failure To Comply With Rate Limits",State of Massachusetts,
"United Seating And Mobility, LLC, D/B/A Numotion, Agrees To Pay $13,500,000 To Resolve Alleged False Claims For Custom Wheelchairs","U.S. Attorney’s Office, District of Arizona",
Texarkana Physician Sentenced To More Than 7 Years In Federal Prison For Prescribing Controlled Substances Without A Legitimate Medical Purpose,"U.S. Attorney’s Office, Western District of Arkansas",
"Buffalo Pharmacy Pays More Than $140,000 To Settle Record Keeping And Misbilling Allegations","U.S. Attorney's Office, Western District of New York",
"Oregon DOJ Reaches Plea Deal With Nurse For Criminal Mistreatment, Elder Abuse",State of Oregon,
Husband And Wife Sentenced For Defrauding An Elderly Victim Out Of Her Home And Obstruction Of Justice,"U.S. Attorney's Office, District of Idaho",
Connecticut Man Admits Role In $7.8 Million Health Care Fraud And Kickback Scheme,"U.S. Attorney's Office, District of New Jersey",
St. Louis Man Sentenced For Home Health Care Fraud,"U.S. Attorney's Office, Eastern District of Missouri",
"President Of UMI Learning Center Sentenced To 27 Months In Prison, Ordered To Pay $3.7 Million Back In Stolen Childcare Benefits","U.S. Attorney’s Office, Southern District of California",
NIRP And Founder To Pay Nearly $9M To Resolve Alleged Kickback Referral Violations,"U.S. Attorney’s Office, Southern District of Texas",
Nationwide Home Healthcare And Hospice Provider To Pay $3.85M To Resolve False Claims Act Allegations,U.S. Department of Justice,
"Millington Woman Arrested, Charged in TBI Medicaid Fraud Investigation",State of Tennessee,
Pair Accused Of Kickback Scheme Involving Lab Testing,"U.S. Attorney's Office, Eastern District of Missouri",
"Provider To Pay $600,000 To Resolve False Claims Act Liability Arising From Billing Of Electro-Acupuncture Device","U.S. Attorney's Office, Eastern District of Pennsylvania",
"U.S. Attorney Announces $600,000 False Claims Act Settlement With Medical Practice And Its Owners For Improper Medicare And Medicaid Billing","U.S. Attorney's Office, Southern District of New York",
Dayton Woman Accused of $1.5 Million Medicaid Scheme Is Arrested in Texas,State of Ohio,
Florida Man Pleads Guilty To Conspiring To Defraud Medicare Of $39.5 Million,"U.S. Attorney's Office, District of New Hampshire",
Carr's Medicaid Fraud Division Obtains New 15-Count Indictment In Forsyth County,State of Georgia,
Elizabethton Man Charged With Abuse Of Vulnerable Adult,State of Tennessee,
Federal Jury Convicts Felon On Supervised Release Of Using A Fraudulently Obtained Social Security Number And Theft Of Social Security Benefits,"U.S. Attorney’s Office, Middle District of Florida",
Attorney General Phil Weiser Charges Medicaid Biller For $1.2 Million In False Liquid Nutrition Claims,State of Colorado,
New Hampshire Couple Indicted For Medicaid Fraud,State of New Hampshire,
Attorney General Josh Stein Announces Health Care Fraud Sentencing,State of North Carolina,
Testing Laboratory Co-Owner Sentenced For $3.8 Million In Fraudulent Billing,"U.S. Attorney’s Office, Eastern District of Missouri",
Tulsa Physician Pays Over $600k to Resolve Allegations of False Claims Act Violations,"U.S. Attorney's Office, Northern District of Oklahoma",
"Owner Of Spokane Valley Medical Supply Company Agrees To Pay $224,620 To Resolve Allegations Of Health Care Fraud","U.S. Attorney's Office, Eastern District of Washington",
Ohio Doctor Sentenced For Conspiring To Accept Kickbacks In Connection With Fraudulent Telemarketing Scheme That Harmed Medicare And TRICARE Patients In Eastern Washington,"U.S. Attorney’s Office, Eastern District of Washington",
Maryland Man Convicted Of Assaulting Law Enforcement And Other Charges For Actions During Jan. 6 Capitol Breach,"U.S. Attorney's Office, District of Columbia",
North Haven Counselor Admits Defrauding Medicaid of More Than $1.6 Million,"U.S. Attorney’s Office, District of Connecticut",
Non-Profit Executive Convicted Of Conspiring To Defraud Federal Government And To Obstruct Federal Administrative Proceeding,"U.S. Attorney's Office, Southern District of New York",
Six Indicted In Scheme To Defraud D.C. Medicaid Program,"U.S. Attorney's Office, District of Columbia",
Federal Court Permanently Prohibits Ohio Physician From Prescribing Opioids And Imposes $4.7M Judgment For Alleged Unlawful Opioid Distribution,U.S. Department of Justice,
New Orleans Man Pled Guilty To Federal Charge Of Conspiracy To Commit Health Care Fraud,"U.S. Attorney's Office, Eastern District of Louisiana",
Doctor And Her Granddaughter Sentenced To Prison For Unlawful Distribution Of Opioids,"U.S. Attorney's Office, Middle District of Florida",
Mt. Juliet Woman Sentenced For Long-Running Theft From Federal Health Care And Disability Programs,"U.S. Attorney's Office, Middle District of Tennessee",
Colorado Joins Lawsuit Against Regeneron Over Alleged Fraudulent Drug Price Reporting For Eye Medication,State of Colorado,
"Attorney General Tong Announces $186,731 False Claims Act Judgment Against Newtown Therapist",State of Connecticut,
AG Nessel Files Lawsuit Against Regeneron Alleging Fraudulent Drug Price Reporting For Eye Medication,State of Michigan,
"Avantor, Inc. Agrees To Pay $5.325 Million To Resolve Allegations Of False Claims For Overcharging Federal Agencies And Allegations Of DEA Violations And Lack Of Compliance As To Listed Chemicals","U.S. Attorney’s Office, Eastern District of Pennsylvania",
Arlington Man Convicted For Illegally Obtaining Healthcare Records And Trying To Cover Up His Crimes,"U.S. Attorney’s Office, Eastern District of Virginia",
"Attorney General Alan Wilson Announces Eastover Man Charged With Stealing More Than $200,000 From Vulnerable Adult",State of South Carolina,
Gloucester County Man Sentenced To 42 Months In Prison For Healthcare Fraud,"U.S. Attorney’s Office, District of New Jersey",
Convicted Health Care Fraud Defendant Sentenced To An Additional Six-Month Sentence For Failing To Report To Prison As Directed,"U.S. Attorney’s Office, Western District of Washington",
"Attorney General Phil Weiser Secures $455,381 In Sale Proceeds From Home Illegally Purchased By Suspect Wanted For Medicaid Fraud",State of Colorado,
Owner Of Michigan-Based Learning Center Pleads Guilty To Medicaid Fraud,State of Michigan,
Attorney General Ken Paxton’s Medicaid Fraud Control Unit Helps Secure 60-Month Prison Sentence And Nearly $5 Million In Restitution For Health Care Fraudster,State of Texas,
"Eye Practice and Its Physician Owner Agree to Pay More Than $460,000 to Resolve Allegations of False Claims and Receiving Illegal Kickbacks","U.S. Attorney’s Office, District of Massachusetts",
Slidell Woman Sentenced To Year And A Day In Prison And Ordered To Repay The Government Over $1.2 Million In Restitution For Pandemic-Related Healthcare Fraud,"U.S. Attorney's Office, Eastern District of Louisiana",
United States Files False Claims Act Complaint Against Erlanger Health System,U.S. Department of Justice,
Precision Lens Agrees To Pay $12 Million To The United States For Kickbacks To Doctors In Violation Of The False Claims Act,"U.S. Attorney's Office, District of Minnesota",
"Substance Use Disorder Treatment Clinics To Pay More Than $850,000 To Resolve Allegations They Knowingly Overbilled Medicaid For Office Visits",U.S. Department of Justice,
United States Obtains $26M In False Claims Act Judgments Against Laboratory Companies And Their Owner,U.S. Department of Justice,
Santa Paula Doctor Pleads Guilty To Health Care Fraud For Role In Hospice Scam That Bilked Medicare Out Of $3.2 Million,"U.S. Attorney's Office, Central District of California",
Sisseton Woman Pleads Guilty To Embezzlement And Theft From An Indian Tribal Organization,"U.S. Attorney's Office, District of South Dakota",
Mental Health Services Providers Pay Over A Million To Settle False Claims Liability,"U.S. Attorney's Office, Southern District of Texas",
Admera Health Agrees To Pay Over $5M To Settle False Claims Act Allegations Of Kickbacks To Third Party Marketers,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of California",
"Riverside County Chiropractor Agrees To Pay $180,00 To Resolve Allegations Of Health Care Fraud","U.S. Attorney's Office, Eastern District of California",
Doctor Convicted For Illegally Distributing Over 1.8M Doses Of Opioids And $5M Health Care Fraud Scheme,U.S. Department of Justice,
"Two Individuals Indicted For Stealing More Than $150,000 From MassHealth Program",State of Massachusetts,
Topeka Man Charged With Embezzlement,"U.S. Attorney's Office, District of Kansas",
Owner Of Home Health Care Company Convicted Of Multimillion Dollar Heath Care Fraud Scheme,"U.S. Attorney's Office, District of Massachusetts",
Attorney General Bonta Secures Sentencing of Southern California Dentist for Medi-Cal Fraud,State of California,
Ohio Medical Doctor Sentenced To Prison For Health Care Fraud Scheme,"U.S. Attorney's Office, Northern District of Ohio",
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,U.S. Department of Justice,
Attorney General Coleman Announces Indictments For Exploitation Of Vulnerable Adult In Ohio County,State of Kentucky,
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,State of Kentucky,
Danbury Non-Profit Settles Allegations It Enrolled Children Of Employees Who Falsely Claimed To Be Homeless Into Its Head Start Programs,"U.S. Attorney's Office, District of Connecticut",
Whitefish Doctor Admits Defrauding Medicare And Other Federal Health Programs,"U.S. Attorney's Office, District of Montana",
Addiction Treatment Chain Owner & Company Plead Guilty To Health Care Fraud Conspiracy,"U.S. Attorney's Office, District of Rhode Island",
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,"U.S. Attorney's Office, Western District of Kentucky",
DaVita To Pay Over $34M To Resolve Allegations Of Illegal Kickbacks,U.S. Department of Justice,
Florida Man Charged With Six Felonies For Mail-Order Pharmacy And Healthcare Kickback Scheme,"U.S. Attorney's Office, Central District of Illinois",
Area Pharmacy Agrees to Resolve Civil Allegations of Improper Dispensing of Controlled Substances,"U.S. Attorney's Office, Eastern District of Pennsylvania",
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,U.S. Department of Justice,
"Cooperating Cancer Testing Company Agrees To Pay Over $900,000 To Resolve Allegations Of False Claims For Lab Tests","U.S. Attorney’s Office, Northern District of California",
"Caregivers Indicted, Charged With Neglect Of Vulnerable Adult",State of Tennessee,
Former Georgia Insurance Commissioner Sentenced To Prison,"U.S. Attorney's Office, Northern District of Georgia",
Former Chief Financial Officer Of Chicago Hospital Among Three Defendants Charged In Alleged $15 Million Embezzlement Scheme,"U.S. Attorney's Office, Northern District of Illinois",
Pharmaceutical Marketer Sentenced For Compounded Medications Fraud Scheme,U.S. Department of Justice,
