Title,Date,Category,Link,Agency
"Oklahoma Medical Clinic, Owners, And Treating Physician Pay $246,000 To Settle Allegations Of Submitting False Medicare Claims For Medically Unnecessary Ultrasound Procedures","August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oklahoma-medical-clinic-owners-and-treating-physician-pay-246000-to-settle-allegations-of-submitting-false-medicare-claims-for-medically-unnecessary-ultrasound-procedures/,"U.S. Attorney's Office, Western District of Oklahoma"
California Doctor Sentenced For Health Care Fraud Scheme,"August 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-doctor-sentenced-for-health-care-fraud-scheme/,U.S. Department of Justice
Boise Health Care Company And Former Therapist Resolve Fraudulent Psychotherapy Billing Allegations Involving Vulnerable Refugee Population,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/boise-health-care-company-and-former-therapist-resolve-fraudulent-psychotherapy-billing-allegations-involving-vulnerable-refugee-population/,"U.S. Attorney's Office, District of Idaho"
Drug Dealer Sentenced To Nine Years In Prison For Opioid Pill Mill Scheme That Illegally Distributed More Than 1.2 Million Oxycodone Pills,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-dealer-sentenced-to-nine-years-in-prison-for-opioid-pill-mill-scheme-that-illegally-distributed-more-than-12-million-oxycodone-pills/,"U.S. Attorney's Office, Eastern District of New York"
"Former Sioux City Plastic Surgeon Agrees To Pay Nearly $200,000 To Settle Allegations He Submitted False Claims","October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-sioux-city-plastic-surgeon-agrees-to-pay-nearly-200000-to-settle-allegations-he-submitted-false-claims/,"U.S. Attorney's Office, Northern District of Iowa"
Medical Billing Company Owner Pleads Guilty To Health Care Fraud,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-billing-company-owner-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, Northern District of New York"
Doctor Sentenced For $54M Medicare Fraud Scheme,"October 29, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-54m-medicare-fraud-scheme/,U.S. Department of Justice
AG's Office Reaches Settlement With Swampscott-Based Medical Transportation Company To Resolve False Billing Allegations,"October 29, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-reaches-settlement-with-swampscott-based-medical-transportation-company-to-resolve-false-billing-allegations/,State of Massachusetts
Physician Charged In Scheme To Illegally Sell Cancer Drugs,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-charged-in-scheme-to-illegally-sell-cancer-drugs/,"U.S. Attorney's Office, Eastern District of Michigan"
Washington Doctor Settles Allegations He Submitted False Claims To Federal Health Care Programs,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/washington-doctor-settles-allegations-he-submitted-false-claims-to-federal-health-care-programs/,"U.S. Attorney's Office, Western District of Washington"
Tennessee Business Owner Convicted of $35M Fraud Scheme,"October 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-business-owner-convicted-of-35m-fraud-scheme/,U.S. Department of Justice
Attorney General Griffin Announces Medicaid Fraud Arrest,"October 25, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-arrest/,State of Arkansas
Arizona Doctor Sentenced To Prison For Health Care Fraud,"October 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-doctor-sentenced-to-prison-for-health-care-fraud/,"U.S. Attorney's Office, District of Arizona"
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,"October 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-role-in-69-million-scheme-to-bill-insurance-for-medications-not-dispensed/,"U.S. Attorney's Office, Eastern District of Michigan"
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,"October 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-nurse-aide-charged-with-stealing-from-vulnerable-adult/,State of South Carolina
New York Doctor Charged with Health Care Fraud,"October 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-charged-with-health-care-fraud/,"U.S. Attorney's Office, District of Massachusetts"
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,"October 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-eastern-kentucky-pharamacist-sentenced-for-healthcare-fraud/,"U.S. Attorney's Office, Eastern District of Kentucky"
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage","October 22, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-mobile-phlebotomy-lab-and-its-owners-to-pay-135000-to-resolve-allegedly-false-claims-for-blood-testing-services-and-travel-mileage/,U.S. Department of Justice
"North Carolina Physician And Medical Practice Agree To Pay $625,000 To Settle Kickback Allegations","October 9, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-and-medical-practice-agree-to-pay-625000-to-settle-kickback-allegations/,U.S. Department of Justice
"Attorney General Josh Stein Announces $625,000 Health Care Fraud Settlement","October 9, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-625000-health-care-fraud-settlement/,State of North Carolina
Attorney General Jackley Announces Wyoming Woman Sentenced On Grand Theft By Exploitation Charge,"October 9, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jackley-announces-wyoming-woman-sentenced-on-grand-theft-by-exploitation-charge/,State of South Dakota
North Carolina Physician Assistant Sentenced To Six Years In Prison For Role In $10 Million Telemedicine Fraud Scheme,"October 4, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-assistant-sentenced-to-six-years-in-prison-for-role-in-10-million-telemedicine-fraud-scheme/,"U.S. Attorney’s Office, Western District of North Carolina"
Operator Of South Carolina Medicaid Call Center Agrees To Pay $11.3 Million To Resolve False Claims Act Liability; Two Former Employees Plead Guilty To Wire Fraud,"October 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-south-carolina-medicaid-call-center-agrees-to-pay-113-million-to-resolve-false-claims-act-liability-two-former-employees-plead-guilty-to-wire-fraud/,"U.S. Attorney's Office, District of South Carolina"
Merrillville Doctor Sentenced To Prison And Ordered To Pay Restitution,"October 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/merrillville-doctor-sentenced-to-prison-and-ordered-to-pay-restitution/,"U.S. Attorney's Office, Northern District of Indiana"
"Ten Pharmaceutical Distributor Executives, Sales Representatives, And Brokers Charged In Connection With Unlawful Sales Of Nearly 70M Opioid Pills","October 3, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ten-pharmaceutical-distributor-executives-sales-representatives-and-brokers-charged-in-connection-with-unlawful-sales-of-nearly-70m-opioid-pills/,U.S. Department of Justice
Wichita Brothers Plead Guilty To Defrauding The Government,"October 2, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wichita-brothers-plead-guilty-to-defrauding-the-government/,"U.S. Attorney's Office, District of Kansas"
Martin Handler Sentenced To 58 Months For Fraud On Federal Head Start Program And Tax Evasion,"October 2, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/martin-handler-sentenced-to-58-months-for-fraud-on-federal-head-start-program-and-tax-evasion/,"U.S. Attorney's Office, Southern District of New York"
Precision Toxicology Agrees to Pay $27M to Resolve Allegations of Unnecessary Drug Testing and Illegal Remuneration to Physicians,"October 2, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/precision-toxicology-agrees-to-pay-27m-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-remuneration-to-physicians/,"U.S. Department of Justice and U.S. Attorney's Office, District of Maryland"
Texas Hospital CEO to Pay Over $5.3M to Settle Kickback Allegations Involving Laboratory Testing,"October 2, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-hospital-ceo-to-pay-over-53m-to-settle-kickback-allegations-involving-laboratory-testing/,U.S. Department of Justice
"AG Moody’s Medicaid Fraud Control Unit Secures More Than $700,000 Through Multistate Action from Toxicology Laboratory","October 2, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-moodys-medicaid-fraud-control-unit-secures-more-than-700000-through-multistate-action-from-toxicology-laboratory/,State of Florida
Chicago Lab Owner Pleads Guilty to $14 Million COVID-19 Fraud Scheme,"October 1, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/chicago-lab-owner-pleads-guilty-to-14-million-covid-19-fraud-scheme/,"U.S. Attorney's Office, Northern District of Illinois"
Brookline Hospital to Pay Up To $6.5 Million to Resolve False Claims Act Liability Concerning Kickback Allegations,"October 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brookline-hospital-to-pay-up-to-65-million-to-resolve-false-claims-act-liability-concerning-kickback-allegations/,"U.S. Attorney's Office, District of Massachusetts"
"Lehigh Valley-Area Doctor Agrees to Pay $45,000 to Resolve False Claims Act Liability","October 1, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lehigh-valley-area-doctor-agrees-to-pay-45000-to-resolve-false-claims-act-liability/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Lab Owner Pleads Guilty to $14M COVID-19 Fraud Scheme,"September 30, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/lab-owner-pleads-guilty-to-14m-covid-19-fraud-scheme/,U.S. Department of Justice
Seven People Charged With Over $40 Million In Medicare And Medicaid Fraud,"September 24, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seven-people-charged-with-over-40-million-in-medicare-and-medicaid-fraud/,"U.S. Attorney’s Office, District of Colorado"
Attorney General Alan Wilson announces Irmo woman charged with stealing from Charleston nursing home resident,"September 24, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-irmo-woman-charged-with-stealing-from-charleston-nursing-home-resident/,State of South Carolina
Home Health Care Companies Owner Convicted Of Medicaid Fraud,"September 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-companies-owner-convicted-of-medicaid-fraud/,"U.S. Attorney's Office, Southern District of Ohio"
Nine Individuals Indicted In $28 Million Illegal Opioid Distribution Conspiracy Three Doctors and A Clinic Owner Among Those Indicted,"September 20, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nine-individuals-indicted-in-28-million-illegal-opioid-distribution-conspiracy-three-doctors-and-a-clinic-owner-among-those-indicted/,"U.S. Attorney’s Office, Eastern District of Michigan"
Tallahassee Woman Arrested for Defrauding Medicaid Program,"September 20, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tallahassee-woman-arrested-for-defrauding-medicaid-program/,State of Florida
"Medical Device Distributor To Pay $1,019,000 To Resolve False Claims Act Liability Arising From Billing Of “P-Stim” Devices","September 19, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-device-distributor-to-pay-1019000-to-resolve-false-claims-act-liability-arising-from-billing-of-p-stim-devices/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Philadelphia Woman Sentenced To 20 Months In Prison For Conspiring To Defraud Medicaid,"September 19, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-woman-sentenced-to-20-months-in-prison-for-conspiring-to-defraud-medicaid/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
"Maryland Man Sentenced For Selling Fraudulent Nursing Diplomas, Transcripts And Nursing Licenses","September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-man-sentenced-for-selling-fraudulent-nursing-diplomas-transcripts-and-nursing-licenses/,"U.S. Attorney's Office, District of Maryland"
Doctor Charged In $32.7M Medicare Fraud Scheme,"September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-charged-in-327m-medicare-fraud-scheme/,U.S. Department of Justice
Oak Street Health Agrees To Pay $60M To Resolve Alleged False Claims Act Liability For Paying Kickbacks To Insurance Agents In Medicare Advantage Patient Recruitment Scheme,"September 18, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oak-street-health-agrees-to-pay-60m-to-resolve-alleged-false-claims-act-liability-for-paying-kickbacks-to-insurance-agents-in-medicare-advantage-patient-recruitment-scheme/,U.S. Department of Justice
Attorney General Bonta Announces Indictment Of Southern California Healthcare Provider For Medi-Cal Fraud Of Nearly $60 Million,"September 18, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-indictment-of-southern-california-healthcare-provider-for-medi-cal-fraud-of-nearly-60-million/,State of California
Carr: Lawrenceville Man Indicted For Medicaid And Identity Fraud,"September 18, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-lawrenceville-man-indicted-for-medicaid-and-identity-fraud/,State of Georgia
Managers Of Suburban Chicago Youth Counseling Center Sentenced To Prison For Defrauding Illinois Medicaid Out Of $2.5 Million,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/managers-of-suburban-chicago-youth-counseling-center-sentenced-to-prison-for-defrauding-illinois-medicaid-out-of-25-million/,"U.S. Attorney's Office, Northern District of Illinois"
South Dakota Surgical Hospital And United Surgical Partners International Agree To Pay More Than $12.7 Million To Resolve Alleged False Claims Act Violations,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-dakota-surgical-hospital-and-united-surgical-partners-international-agree-to-pay-more-than-127-million-to-resolve-alleged-false-claims-act-violations/,"U.S. Attorney's Office, Northern District of Iowa"
Doctor Pleads Guilty To Conspiracy To Illegally Using A Drug Enforcement Administration Registration Number Issued To Another,"September 17, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-conspiracy-to-illegally-using-a-drug-enforcement-administration-registration-number-issued-to-another/,"U.S. Attorney's Office, Western District of Kentucky"
East Lansing Caregiver Sentenced For Role In Freezing Death Of Elderly Woman,"September 17, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/east-lansing-caregiver-sentenced-for-role-in-freezing-death-of-elderly-woman/,State of Michigan
Brooklyn-Based Home Health Care Agencies Settle Fraud Claims for $9.75 Million and Agree to Pay $7.5 Million in Wages and Benefits to Underpaid Aides,"September 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brooklyn-based-home-health-care-agencies-settle-fraud-claims-for-975-million-and-agree-to-pay-75-million-in-wages-and-benefits-to-underpaid-aides/,"U.S. Attorney's Office, Eastern District of New York"
Founder and Chief Executive Officer of Injectable Stem Cell Product Manufacturer Sentenced for Distributing Unapproved Drug,"September 30, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/founder-and-chief-executive-officer-of-injectable-stem-cell-product-manufacturer-sentenced-for-distributing-unapproved-drug/,U.S. Department of Justice
Attorney General James And U.S. Attorney Peace Secure Over $17 Million From Home Health Agencies For Cheating Workers And Defrauding Medicaid In Landmark Wage Parity Agreement,"September 30, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-and-us-attorney-peace-secure-over-17-million-from-home-health-agencies-for-cheating-workers-and-defrauding-medicaid-in-landmark-wage-parity-agreement/,State of New York
The Pathway Home Abuse Investigation – Victims Being Sought,"September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-pathway-home-abuse-investigation-victims-being-sought/,Anchorage Police Department
Owner of Oahu Physical Therapy Clinics Pleads Guilty to Health Care Fraud,"September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-oahu-physical-therapy-clinics-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, District of Hawaii"
"Hospital, Laboratory, Referring Physician, and Lab Employees Pay More than $7.2 Million To Resolve Civil Allegations of Fraudulent Laboratory Testing","September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospital-laboratory-referring-physician-and-lab-employees-pay-more-than-72-million-to-resolve-civil-allegations-of-fraudulent-laboratory-testing/,"U.S. Attorney’s Office, Eastern District of Kentucky"
"Physician and Office Manager Pay $450,000 to Resolve Alleged Violations of the Controlled Substance Act and the False Claims Act","September 27, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-and-office-manager-pay-450000-to-resolve-alleged-violations-of-the-controlled-substance-act-and-the-false-claims-act/,"U.S. Attorney’s Office, Eastern District of Kentucky"
Behavioral Healthcare Company Executive Pleads Guilty to Healthcare Fraud,"September 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/behavioral-healthcare-company-executive-pleads-guilty-to-healthcare-fraud/,"U.S. Attorney's Office, District of Massachusetts"
Acadia Healthcare Company Inc. to Pay $19.85M to Settle Allegations Relating to Medically Unnecessary Inpatient Behavioral Health Services,"September 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acadia-healthcare-company-inc-to-pay-1985m-to-settle-allegations-relating-to-medically-unnecessary-inpatient-behavioral-health-services/,U.S. Department of Justice
Attorney General Griffin Announces Arrest Of Little Rock Woman On Felony Medicaid Fraud Charge,"September 26, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-arrest-of-little-rock-woman-on-felony-medicaid-fraud-charge/,State of Arkansas
Texas Businessman Accused of $1.9 Million COVID Test Kit Fraud,"September 25, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/texas-businessman-accused-of-19-million-covid-test-kit-fraud/,"U.S. Attorney’s Office, Eastern District of Missouri"
Over 100 Defendants Federally Charged With Fraud Related To The COVID-19 Pandemic,"September 25, 2024",COVID-19,https://oig.hhs.gov/fraud/enforcement/over-100-defendants-federally-charged-with-fraud-related-to-the-covid-19-pandemic/,"U.S. Attorney’s Office, Middle District of Florida"
Former Pharmacy Chief Financial Officer and Former Pharmacy President Admit Roles in $33 Million Pharmacy Compounded Medication Scheme,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-pharmacy-chief-financial-officer-and-former-pharmacy-president-admit-roles-in-33-million-pharmacy-compounded-medication-scheme/,"U.S. Attorney’s Office, District of New Jersey"
Prineville Woman Sentenced to Federal Prison for Multi-Million Dollar Drug Treatment Fraud Scheme,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prineville-woman-sentenced-to-federal-prison-for-multi-million-dollar-drug-treatment-fraud-scheme/,"U.S. Attorney’s Office, District of Oregon"
"$2,125,640 Recouped in Civil Settlements for Violations of the False Claims Act from Local Pharmacies in Cidra and Florida, Puerto Rico","September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/2125640-recouped-in-civil-settlements-for-violations-of-the-false-claims-act-from-local-pharmacies-in-cidra-and-florida-puerto-rico/,"U.S. Attorney’s Office, District of Puerto Rico"
27 Individuals Indicted for Buying and Selling Wholesale Quantities of Misbranded and Diverted Prescription Drugs Resold to the Public Through Retail Pharmacies in Puerto Rico,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/27-individuals-indicted-for-buying-and-selling-wholesale-quantities-of-misbranded-and-diverted-prescription-drugs-resold-to-the-public-through-retail-pharmacies-in-puerto-rico/,"U.S. Attorney’s Office, District of Puerto Rico"
"Ra Medical Systems, Inc. & Physicians Pay Over $8 Million to Resolve False Claims Act Allegations of Illegal Kickbacks","September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ra-medical-systems-inc-physicians-pay-over-8-million-to-resolve-false-claims-act-allegations-of-illegal-kickbacks/,"U.S. Attorney’s Office, Eastern District of Michigan"
USAO NDWV Secures False Claims Act Settlement Relating to Use of Amniotic Fluid Injections for Pain Management,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/usao-ndwv-secures-false-claims-act-settlement-relating-to-use-of-amniotic-fluid-injections-for-pain-management/,"U.S. Attorney’s Office, Northern District of West Virginia"
Virginia-Based Defense Contractor To Pay $2.25 Million Fine for Bribery Conspiracy,"September 25, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-based-defense-contractor-to-pay-225-million-fine-for-bribery-conspiracy/,"U.S. Attorney’s Office, Southern District of California"
"Temporary Nurse Staffing Agencies In Quincy, Waltham To Pay More Than $600,000 In Separate Settlements For Failure To Comply With Rate Limits","August 27, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/temporary-nurse-staffing-agencies-in-quincy-waltham-to-pay-more-than-600000-in-separate-settlements-for-failure-to-comply-with-rate-limits/,State of Massachusetts
"United Seating And Mobility, LLC, D/B/A Numotion, Agrees To Pay $13,500,000 To Resolve Alleged False Claims For Custom Wheelchairs","August 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-seating-and-mobility-llc-dba-numotion-agrees-to-pay-13500000-to-resolve-alleged-false-claims-for-custom-wheelchairs/,"U.S. Attorney’s Office, District of Arizona"
Texarkana Physician Sentenced To More Than 7 Years In Federal Prison For Prescribing Controlled Substances Without A Legitimate Medical Purpose,"August 26, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texarkana-physician-sentenced-to-more-than-7-years-in-federal-prison-for-prescribing-controlled-substances-without-a-legitimate-medical-purpose/,"U.S. Attorney’s Office, Western District of Arkansas"
"Buffalo Pharmacy Pays More Than $140,000 To Settle Record Keeping And Misbilling Allegations","August 23, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/buffalo-pharmacy-pays-more-than-140000-to-settle-record-keeping-and-misbilling-allegations/,"U.S. Attorney's Office, Western District of New York"
"Oregon DOJ Reaches Plea Deal With Nurse For Criminal Mistreatment, Elder Abuse","August 23, 2024",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/oregon-doj-reaches-plea-deal-with-nurse-for-criminal-mistreatment-elder-abuse/,State of Oregon
Husband And Wife Sentenced For Defrauding An Elderly Victim Out Of Her Home And Obstruction Of Justice,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/husband-and-wife-sentenced-for-defrauding-an-elderly-victim-out-of-her-home-and-obstruction-of-justice/,"U.S. Attorney's Office, District of Idaho"
Connecticut Man Admits Role In $7.8 Million Health Care Fraud And Kickback Scheme,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-man-admits-role-in-78-million-health-care-fraud-and-kickback-scheme/,"U.S. Attorney's Office, District of New Jersey"
St. Louis Man Sentenced For Home Health Care Fraud,"August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-man-sentenced-for-home-health-care-fraud/,"U.S. Attorney's Office, Eastern District of Missouri"
"President Of UMI Learning Center Sentenced To 27 Months In Prison, Ordered To Pay $3.7 Million Back In Stolen Childcare Benefits","August 21, 2024",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/president-of-umi-learning-center-sentenced-to-27-months-in-prison-ordered-to-pay-37-million-back-in-stolen-childcare-benefits/,"U.S. Attorney’s Office, Southern District of California"
